;№ КП;дата выдачи;Партнер (для КП);Конечный заказчик;Дистрибьютор;Sale;Presale
2194;2262;2021-01-29;DataPro;;;Никитин;Неудачин
2195;2263;2021-01-29;SharxDC;РТ-Инвест транспортные системы;;Филипчук;Неудачин
2196;2264;2021-02-01;Icore;Сбербанк;;Толоко;Юль
2197;2265;2021-02-01;DataRK;Амурский газоперерабатывающий завод;;Никитин;Антоновский
2198;2266;2021-02-01;Rubitech;;;Никитин;Антоновский
2199;2267;2021-02-01;DS Group;;;Филипчук;Антоновский
2200;2268;2021-02-01;Softline;;;Никитин;Неудачин
2201;2269;2021-02-01;Rostelecom-solar;;;Толоко;Антоновский
2202;2270;2021-02-01;Selectel;;;Никитин;Антоновский
2203;2271;2021-02-02;Marvel;Крок - ИнтерРАО;;Толоко;Антоновский
2204;2272;2021-02-02;Proizvodstvennaya gruppa;РТИ;;Филипчук;Антоновский
2205;2273;2021-02-02;AMD Tech;ФТС;;Толоко;Антоновский
2206;2274;2021-02-02;NTC Sphere;Банк Дом РФ;;Филипчук;Неудачин
2207;2275;2021-02-02;Marvel;Яндекс;;Толоко;Антоновский
2208;2276;2021-02-02;Merlion;Яндекс;;Толоко;Антоновский
2209;2277;2021-02-02;Infoserv;Яндекс;;Толоко;Антоновский
2210;2278;2021-02-02;IVS;Яндекс;;Толоко;Антоновский
2211;2279;2021-02-03;GreenMDC;;;Никитин;Антоновский
2212;2280;2021-02-03;Oberon;Сбербанк;;Толоко;Неудачин
2213;2281;2021-02-03;Marvel;ГКУСРФ Управление Юстиции Алтайского Края;;Толоко;Неудачин
2214;2282;2021-02-04;DataPro;;;Никитин;Неудачин
2215;2283;2021-02-04;ITER;Новоширокинский рудник;;Филипчук;Антоновский
2216;2284;2021-02-04;Selectel;;;Никитин;Антоновский
2217;2285;2021-02-04;Nalog-service;;;Никитин;Антоновский
2218;2286;2021-02-04;Selectel;;;Никитин;Неудачин
2219;2287;2021-02-05;Datachip;;;Никитин;Антоновский
2220;2288;2021-02-05;Marvel;Астел;;Толоко;Неудачин
2221;2289;2021-02-05;Icore;Сбербанк;;Толоко;Неудачин
2222;2290;2021-02-08;Nalog-service;;;Никитин;Антоновский
2223;2291;2021-02-08;Abitech;;;Никитин;Антоновский
2224;2292;2021-02-08;Rubitech;;;Никитин;Неудачин
2225;2293;2021-02-08;Nalog-service;;;Никитин;Неудачин
2226;2294;2021-02-08;ECO Technologies;ФСБ;;Толоко;Антоновский
2227;2295;2021-02-08;Datahouse;;;Никитин;Антоновский
2228;2296;2021-02-08;NTC Sphere;"АО ""Тюменьнефтегаз""";;Филипчук;Антоновский
2229;2297;2021-02-08;It-Lanit;Диалог-Регионы;;Филипчук;Антоновский
2230;2298;2021-02-09;GreenMDC;Газпромнефть;;Никитин;Неудачин
2231;2299;2021-02-09;USSB;;;Никитин;Неудачин
2232;2300;2021-02-09;NPO Enginiring;;;Филипчук;Неудачин
2233;2301;2021-02-09;Datahouse;;;Никитин;Антоновский
2234;2302;2021-02-09;Selectel;;;Никитин;Антоновский
2235;2303;2021-02-09;Abitech;;;Никитин;Неудачин
2236;2304;2021-02-09;Icore;Сбербанк;;Толоко;Неудачин
2237;2305;2021-02-10;Marvel;АО Ангарский Завод Полимеров;;Толоко;Неудачин
2238;2306;2021-02-10;ITER;Новоширокинский рудник;;Филипчук;Антоновский
2239;2307;2021-02-10;ITER;Новоширокинский рудник;;Филипчук;Антоновский
2240;2308;2021-02-10;Marvel;Яндекс;;Толоко;Неудачин
2241;2309;2021-02-10;Merlion;Яндекс;;Толоко;Неудачин
2242;2310;2021-02-10;Infoserv;Яндекс;;Толоко;Неудачин
2243;2311;2021-02-10;IVS;Яндекс;;Толоко;Неудачин
2244;2312;2021-02-11;DataPro;;;Никитин;Неудачин
2245;2313;2021-02-11;NPC Informatizacii;ГУП Республики Мордовия;;Шивырталов;Неудачин
2246;2314;2021-02-11;Selectel;;;Никитин;Антоновский
2247;2315;2021-02-11;StepLogic;Сбер;;Толоко;Антоновский
2248;2316;2021-02-11;Oberon;;;Нугманов;Антоновский
2249;2317;2021-02-11;GreenMDC;Усть-Каменогорский титано-магниевый комбинат;;Никитин;Антоновский
2250;2318;2021-02-11;MTU-С;ММТС-9;;Толоко;Антоновский
2251;2319;2021-02-12;NTC Sphere;"АО ""Тюменьнефтегаз""";;Филипчук;Неудачин
2252;2320;2021-02-12;ITER;;;Филипчук;Неудачин
2253;2321;2021-02-12;Ixcellerate;;;Толоко;Антоновский
2254;2322;2021-02-12;DataRK;УФСБ НН;;Толоко;Антоновский
2255;2323;2021-02-12;Icore;;;Никитин;Неудачин
2256;2324;2021-02-12;OCS;Свет компьютерс;;Толоко;Антоновский
2257;2325;2021-02-15;RTK Service;Почта России;;Филипчук;Антоновский
2258;2326;2021-02-15;DC Consult;Гознак;;Филипчук;Неудачин
2259;2327;2021-02-15;Vips-med;ФГБУ ВНИИЗЖ;;Филипчук;Антоновский
2260;2328;2021-02-15;3data;;;Никитин;Неудачин
2261;2329;2021-02-15;Envision group;"КБ ""КУБАНЬ КРЕДИТ""";;Шуляк;Антоновский
2262;2330;2021-02-15;Selectel;;;Никитин;Антоновский
2263;2331;2021-02-15;Technoserv;;;Никитин;Неудачин
2264;2332;2021-02-15;Sonet;;;Толоко;Неудачин
2265;2333;2021-02-16;Optivera;;;Никитин;Неудачин
2266;2334;2021-02-16;USSB;Газпром трансгаз Югорск;;Никитин;Антоновский
2267;2335;2021-02-16;USSB;Газпром трансгаз Югорск;;Никитин;Антоновский
2268;2336;2021-02-16;USSB;Газпром трансгаз Югорск;;Никитин;Антоновский
2269;2337;2021-02-16;3data;;;Никитин;Неудачин
2270;2338;2021-02-16;OCS;Росатом;;Шивырталов;Антоновский
2271;2339;2021-02-16;Marvel;;;Толоко;Неудачин
2272;2340;2021-02-16;Icore;Сбербанк;;Толоко;Антоновский
2273;2341;2021-02-16;DataPro;;;Никитин;Неудачин
2274;2342;2021-02-17;ITER;Базовые металлы;;Филипчук;Антоновский
2275;2343;2021-02-17;Marvel;Руссдрагмет;;Толоко;Антоновский
2276;2344;2021-02-18;Ixcellerate;;;Толоко;Антоновский
2277;2345;2021-02-19;NTC Sphere;РТИ;;Филипчук;Антоновский
2278;2346;2021-02-19;Marvel;Айстек;;Толоко;Антоновский
2279;2347;2021-02-19;Inzhenerie seti;ООО «ВЕТРОПАРКИ ФРВ»;;Филипчук;Неудачин
2280;2348;2021-02-19;Rubitech;Налог-сервис;;Никитин;Неудачин
2281;2349;2021-02-19;Rubitech;Налог-сервис;;Никитин;Неудачин
2282;2350;2021-02-19;Gazprom Inform;;;Филипчук;Неудачин
2283;2351;2021-02-19;PAO Giprosvyaz;;;Филипчук;Неудачин
2284;2352;2021-02-19;TMS;;;Никитин;Антоновский
2285;2353;2021-02-20;SMP;Ростелеком;;Толоко;Неудачин
2286;2354;2021-02-20;IT;Главстрой;;Шивырталов;Антоновский
2287;2355;2021-02-20;Sitilink UG;;;Толоко;Антоновский
2288;2356;2021-02-20;PRIDEX Construction;Сбербанк Кутузовский;;Филипчук;Неудачин
2289;2357;2021-02-20;RTI;;;Филипчук;Антоновский
2290;2358;2021-02-20;Makomnet;;;Шивырталов;Антоновский
2291;2359;2021-02-24;Merlion;Тандер;;Толоко;Неудачин
2292;2360;2021-02-24;C-Lan;ИСП РАН им. Иванникова;;Шуляк;Антоновский
2293;2361;2021-02-24;USSB;Иркутская нефтяная компания;;Никитин;Антоновский
2294;2362;2021-02-24;Marvel;Яндекс;;Толоко;Антоновский
2295;2363;2021-02-24;Merlion;Яндекс;;Толоко;Антоновский
2296;2364;2021-02-24;Infoserv;Яндекс;;Толоко;Антоновский
2297;2365;2021-02-24;IVS;Яндекс;;Толоко;Антоновский
2298;2366;2021-02-24;NKT;ТТ Мобайл;;Никитин;Антоновский
2299;2367;2021-02-24;Open technology;ПАО «МРСК Центра»;;Никитин;Антоновский
2300;2368;2021-02-24;Marvel;Тьюринг Компьютерс;;Толоко;Антоновский
2301;2369;2021-02-24;Rubitech;;;Никитин;Антоновский
2302;2370;2021-02-24;PROF-IT GROUP;АО Многовершинное;;Толоко;Антоновский
2303;2371;2021-02-25;Softline;;;Никитин;Неудачин
2304;2372;2021-02-25;TechLand;;;Шуляк;Антоновский
2305;2373;2021-02-25;OCS;Минюст Амурской области;;Шивырталов;Неудачин
2306;2374;2021-02-25;Itprostor;ИБРАЭ РАН;;Филипчук;Антоновский
2307;2375;2021-02-25;Softline;Марвел;;Никитин;Антоновский
2308;2376;2021-02-25;Gazprom Inform;;;Филипчук;Антоновский
2309;2377;2021-02-26;Bulat;;;Никитин;Неудачин
2310;2378;2021-02-26;Modul;;;Толоко;Неудачин
2311;2379;2021-02-26;Energoperspectiva;;;Шуляк;Неудачин
2312;2380;2021-02-26;Icore;Сбербанк;;Толоко;Неудачин
2313;2381;2021-02-26;Rubitech;ФТС;;Толоко;Неудачин
2314;2382;2021-02-26;Radius;Мировые судьи, Белгород;;Шивырталов;Неудачин
2315;2383;2021-02-26;Neftegazpostavka;Сахалин Энерджи;;Шивырталов;Неудачин
2316;2384;2021-02-26;Kornet-yug;АО Тандер;;Шуляк;Антоновский
2317;2385;2021-02-26;Optima;Базовые металлы;;Шивырталов;Антоновский
2318;2386;2021-03-01;Sinto;;;Никитин;Антоновский
2319;2387;2021-03-01;Kelt;Руссдрагмет;;Филипчук;Неудачин
2320;2388;2021-03-01;Marvel;НТЦ Сфера;;Филипчук;Антоновский
2321;2389;2021-03-01;Fort Dialog;ПАО КАМАЗ;;Филипчук;Неудачин
2322;2390;2021-03-01;OVL Energo;Газпром информ;;Филипчук;Антоновский
2323;2391;2021-03-02;DataPro;;;Никитин;Неудачин
2324;2392;2021-03-02;Vybos;Квант;;Толоко;Антоновский
2325;2393;2021-03-02;KT&G RUS;Табачная фабрика, Калуга;;Шивырталов;Антоновский
2326;2394;2021-03-02;MTU-С;ММТС-9;;Толоко;Антоновский
2327;2395;2021-03-02;Icore;СБ Девелопмент;;Толоко;Антоновский
2328;2396;2021-03-02;Croc;;;Никитин;Антоновский
2329;2397;2021-03-02;DataDom;Норникель;;Никитин;Антоновский
2330;2398;2021-03-02;Peterburg Electro;Ростелеком;;Шуляк;Неудачин
2331;2399;2021-03-02;Icore;Степ;;Толоко;Антоновский
2332;2400;2021-03-02;Aquarius;Мос метрополитен;;Толоко;Антоновский
2333;2401;2021-03-02;Miran;;;Никитин;Неудачин
2334;2402;2021-03-03;Merlion;ГК Спутник-Полюс;;Толоко;Антоновский
2335;2403;2021-03-03;Regard;ЦОД для Администрации Тамбовской области;;Толоко;Антоновский
2336;2404;2021-03-03;Simost;Сахалин Энерджи (Sakhalin Energy);;Шивырталов;Антоновский
2337;2405;2021-03-03;Current;Черномортранснефть;;Филипчук;Неудачин
2338;2406;2021-03-03;Merlion;Ростелеком;;Толоко;Неудачин
2339;2407;2021-03-03;Marvel;НТЦ Сфера;;Филипчук;Неудачин
2340;2408;2021-03-03;Croc;;;Никитин;Неудачин
2341;2409;2021-03-03;Marvel;Русдрагмет;;Толоко;Антоновский
2342;2410;2021-03-03;Abitech;;;Никитин;Неудачин
2343;2411;2021-03-03;Miran;;;Никитин;Неудачин
2344;2412;2021-03-04;NTC Sphere;"АО ""МТУ Сатурн""";;Филипчук;Неудачин
2345;2413;2021-03-04;Inart;Мос метрополитен;;Толоко;Антоновский
2346;2414;2021-03-04;Marvel;;;Толоко;Антоновский
2347;2415;2021-03-04;AZI;;;Никитин;Неудачин
2348;2416;2021-03-05;Grandmotors;;;Шуляк;Антоновский
2349;2417;2021-03-05;Emilink;;;Нугманов;Антоновский
2350;2418;2021-03-05;PRIDEX Construction;Себрбанк ДВ;;Филипчук;Неудачин
2351;2419;2021-03-05;Velesstroy;АО «Черномортранснефть»;;Филипчук;Неудачин
2352;2420;2021-03-05;NTC Sphere;ТомскНИПнефть;;Филипчук;Неудачин
2353;2421;2021-03-05;Marvel;Юникс;;Толоко;Антоновский
2354;2422;2021-03-09;Selectel;;;Никитин;Неудачин
2355;2423;2021-03-09;DataPro;;;Никитин;Неудачин
2356;2424;2021-03-10;Alfacom;Ростелеком;;Никитин;Антоновский
2357;2425;2021-03-10;Volgopromventilyatciya;;;Толоко;Антоновский
2358;2426;2021-03-10;Technoserv;;;Никитин;Неудачин
2359;2427;2021-03-10;DCC;;;Толоко;Антоновский
2360;2428;2021-03-10;Oberon;Сбер;;Толоко;Антоновский
2361;2429;2021-03-10;StepLogic;Степ;;Толоко;Антоновский
2362;2430;2021-03-10;Icore;;;Никитин;Неудачин
2363;2431;2021-03-10;Marvel;Ритм-ИТ;;Толоко;Антоновский
2364;2432;2021-03-10;Informzashchita;Управление делами Воронежской области;;Филипчук;Неудачин
2365;2433;2021-03-11;YugInformCentr;Управление по обеспечению деятельности мировых судей Республики Адыгея;;Филипчук;Неудачин
2366;2434;2021-03-11;NTC Sphere;РТИ;;Филипчук;Антоновский
2367;2435;2021-03-11;NTC Sphere;Ростелеком;;Шуляк;Антоновский
2368;2436;2021-03-11;Rubitech;;;Никитин;Антоновский
2369;2437;2021-03-12;DataRK;Амурский газоперерабатывающий завод;;Никитин;Неудачин
2370;2438;2021-03-12;I-Teco;Транснефть;;Шуляк;Антоновский
2371;2439;2021-03-12;KomMirovyhSudeiTomsk;;;Шуляк;Неудачин
2372;2440;2021-03-15;Icore;Сбербанк Девелопмент;;Толоко;Антоновский
2373;2441;2021-03-15;Pik-elbi; АО «ДРСК» - Приморские электрические сети;;Толоко;Антоновский
2374;2442;2021-03-15;Systematic;Теле2;;Никитин;Антоновский
2375;2443;2021-03-15;Anten-I;Газпром ГНП холдинг;;Шуляк;Антоновский
2376;2444;2021-03-15;BiLogics;Сахалин Энерджи;;Шуляк;Антоновский
2377;2445;2021-03-15;Marvel;StepLogic;;Толоко;Антоновский
2378;2446;2021-03-15;Marvel;StepLogic;;Толоко;Антоновский
2379;2447;2021-03-16;SCS;Сахалин Энерджи;;Шуляк;Антоновский
2380;2448;2021-03-16;Merlion;Крок;;Толоко;Антоновский
2381;2449;2021-03-16;3data;;;Никитин;Неудачин
2382;2450;2021-03-16;Marvel;Крок;;Никитин;Антоновский
2383;2451;2021-03-16;Nintegra;Министерство обороны РФ;;Шуляк;Неудачин
2384;2452;2021-03-16;Artgard;Базовые металлы;;Филипчук;Антоновский
2385;2453;2021-03-16;PAO MAK Vimpel;;;Никитин;Неудачин
2386;2454;2021-03-16;ITER;Базовые металлы;;Филипчук;Антоновский
2387;2455;2021-03-16;Marvel;;;Никитин;Неудачин
2388;2456;2021-03-16;StepLogic;Сбербанк;;Толоко;Антоновский
2389;2457;2021-03-16;Oberon;Сбербанк;;Толоко;Неудачин
2390;2458;2021-03-17;DepMinSvyaz;;;Шуляк;Антоновский
2391;2459;2021-03-17;Icore;StepLogic;;Толоко;Антоновский
2392;2460;2021-03-17;Rubitech;;;Никитин;Антоновский
2393;2461;2021-03-17;Marvel;Склад;;Нугманов;Антоновский
2394;2462;2021-03-18;Sber service;Сбер;;Толоко;Антоновский
2395;2463;2021-03-18;Tegrus;ПАО Мечел;;Филипчук;Антоновский
2396;2464;2021-03-18;Rubitech;Налог-сервис;;Никитин;Неудачин
2397;2465;2021-03-18;Selectel;;;Никитин;Антоновский
2398;2466;2021-03-19;DS Group;;;Филипчук;Неудачин
2399;2467;2021-03-19;Galard;АО Раменский Приборостроительный Завод;;Филипчук;Юль
2400;2468;2021-03-19;Marvel;Тандер;;Толоко;Антоновский
2401;2469;2021-03-19;DataDom;;;Никитин;Антоновский
2402;2470;2021-03-19;Vybos;Софтлайн;;Толоко;Антоновский
2403;2471;2021-03-22;ITeco;ЦБ;;Шуляк;Неудачин
2404;2472;2021-03-22;Croc;МТС;;Никитин;Антоновский
2405;2473;2021-03-22;NTC Sphere;;;Филипчук;Антоновский
2406;2474;2021-03-22;AlabugaDevelopment;;;Шуляк;Неудачин
2407;2475;2021-03-22;MirSudSaratov;;;Шуляк;Неудачин
2408;2476;2021-03-22;Gazprom Inform;;;Филипчук;Антоновский
2409;2477;2021-03-23;SMP;Главная военная прокуратура;;Толоко;Антоновский
2410;2478;2021-03-23;Emilink;;;Толоко;Антоновский
2411;2479;2021-03-23;ICL;;;Толоко;Антоновский
2412;2480;2021-03-23;Moskagiprotruboprovod;Транснефть;;Шуляк;Антоновский
2413;2481;2021-03-23;Miran;;;Никитин;Неудачин
2414;2482;2021-03-23;Jet;;;Никитин;Неудачин
2415;2483;2021-03-23;DataPro;Перекрёсток;;Никитин;Неудачин
2416;2484;2021-03-24;Alterra;;;Шуляк;Антоновский
2417;2485;2021-03-24;Marvel;Яндекс-такси;;Толоко;Антоновский
2418;2486;2021-03-24;Merlion;Яндекс-такси;;Толоко;Антоновский
2419;2487;2021-03-24;IVS;Яндекс-такси;;Толоко;Антоновский
2420;2488;2021-03-24;Infoserv;Яндекс-такси;;Толоко;Антоновский
2421;2489;2021-03-24;Ixcellerate;;;Толоко;Антоновский
2422;2490;2021-03-24;Arman;Базовые металлы;;Филипчук;Антоновский
2423;2491;2021-03-24;Merlion;Транснефть;;Толоко;Антоновский
2424;2492;2021-03-24;Marvel;StepLogic;;Толоко;Антоновский
2425;2493;2021-03-24;Merlion;Гринатом;;Толоко;Антоновский
2426;2494;2021-03-25;Rubitech;;;Никитин;Неудачин
2427;2495;2021-03-25;IVS;;;Никитин;Неудачин
2428;2496;2021-03-25;Alfacom;;;Никитин;Антоновский
2429;2497;2021-03-25;Croc;ФКБУ МЦК ЗАЩИТА Минздрава Росии;;Никитин;Антоновский
2430;2498;2021-03-25;Icore;Сбербанк;;Толоко;Юль
2431;2499;2021-03-26;Agat;Автодор;;Филипчук;Антоновский
2432;2500;2021-03-26;Marvel;StepLogic;;Толоко;Антоновский
2433;2501;2021-03-26;MCHS;Служба связи и РТО;;Филипчук;Антоновский
2434;2502;2021-03-26;Autograph;"Департамент информатизации и
связи Республики Марий Эл";;Шуляк;Неудачин
2435;2503;2021-03-26;Softline;НЛМК-Урал;;Филипчук;Неудачин
2436;2504;2021-03-26;Dokasnab;;;Шуляк;Неудачин
2437;2505;2021-03-29;Oberon;Сколково;;Толоко;Антоновский
2438;2506;2021-03-29;Rubitech;;;Никитин;Неудачин
2439;2507;2021-03-29;Softline;Русал;;Филипчук;Юль
2440;2508;2021-03-29;Marvel;StepLogic;;Толоко;Антоновский
2441;2509;2021-03-29;Tegrus;Русал;;Филипчук;Юль
2442;2510;2021-03-29;Sonet;Гринатом;;Толоко;Неудачин
2443;2511;2021-03-30;Logicsystems;;;Никитин;Неудачин
2444;2512;2021-03-30;Croc;;;Никитин;Неудачин
2445;2513;2021-03-30;USSB;;;Никитин;Антоновский
2446;2514;2021-03-30;Softline;;Марвел;Никитин;Неудачин
2447;2515;2021-03-30;Ixcellerate;;;Толоко;Антоновский
2448;2516;2021-03-30;Marvel;ОКБ Гидропресс;;Никитин;Неудачин
2449;2517;2021-03-31;Softline;;;Никитин;Неудачин
2450;2518;2021-03-31;Selectel;;;Никитин;Антоновский
2451;2519;2021-03-31;Softline;;;Никитин;Неудачин
2452;2520;2021-03-31;Vybos;;;Толоко;Неудачин
2453;2521;2021-03-31;AB Engineering;;;Толоко;Антоновский
2454;2522;2021-03-31;Infotech;"ГАУ РК ""ЦИТ""";;Шуляк;Неудачин
2455;2523;2021-04-01;Sitilink UG;Тандер;;Толоко;Неудачин
2456;2524;2021-04-01;Marvel;StepLogic;;Толоко;Антоновский
2457;2525;2021-04-01;Bonch IT;;;Филипчук;Антоновский
2458;2526;2021-04-01;Marvel;StepLogic;;Толоко;Антоновский
2459;2527;2021-04-01;NTC Sphere;Томскниипнефть;;Филипчук;Неудачин
2460;2528;2021-04-01;Marvel;StepLogic;;Толоко;Антоновский
2461;2529;2021-04-01;Ixcellerate;Авито;;Толоко;Антоновский
2462;2530;2021-04-02;Selectel;;;Никитин;Антоновский
2463;2531;2021-04-02;Inzhenerie seti;ООО «ВЕТРОПАРКИ ФРВ»;;Филипчук;Неудачин
2464;2532;2021-04-02;;;;Шуляк;Неудачин
2465;2533;2021-04-05;Ixcellerate;Авито;;Толоко;Неудачин
2466;2534;2021-04-05;Union;;;Никитин;Неудачин
2467;2535;2021-04-05;Vybos;Квант;;Толоко;Неудачин
2468;2536;2021-04-05;Telecom Integratsiya;;;Шуляк;Неудачин
2469;2537;2021-04-05;IPS-Comp;;;Шуляк;Неудачин
2470;2538;2021-04-06;NTC Sphere;Гринатом;;Шуляк;Антоновский
2471;2539;2021-04-06;SEVT;Группа Бринэкс;;Шуляк;Антоновский
2472;2540;2021-04-06;Marvel;РТИ;;Филипчук;Антоновский
2473;2541;2021-04-06;Sibintek;Роснефть;;Шуляк;Антоновский
2474;2542;2021-04-07;Servionica;МЭС;;Никитин;Неудачин
2475;2543;2021-04-07;NBS Group;АО Тандер;;Шуляк;Неудачин
2476;2544;2021-04-07;DataPro;;;Шуляк;Неудачин
2477;2545;2021-04-07;Rubitech;;;Никитин;Неудачин
2478;2546;2021-04-07;T-logic;;;Никитин;Неудачин
2479;2547;2021-04-08;Aquarius;Московский метрополитен;;Толоко;Неудачин
2480;2548;2021-04-08;GreenMDC;РКК;;Шуляк;Антоновский
2481;2549;2021-04-08;Rubitech;ФНС;;Никитин;Неудачин
2482;2550;2021-04-09;DataDom;;;Никитин;Неудачин
2483;2551;2021-04-09;Marvel;Рубитех;;Шуляк;Антоновский
2484;2552;2021-04-09;Softline;Камаз;;Шуляк;Антоновский
2485;2553;2021-04-09;Telecom Integratsiya;Аэронавигация Северо-Востока;;Шуляк;Антоновский
2486;2554;2021-04-09;Rubitech;СБД;;Толоко;Антоновский
2487;2555;2021-04-09;Standart Bezopasnosti;Мировые судьи Ярославской области;;Шуляк;Неудачин
2488;2556;2021-04-12;Vybos;Рен-ТВ;;Толоко;Антоновский
2489;2557;2021-04-12;Marvel;Покровский рудник;;Толоко;Антоновский
2490;2558;2021-04-12;Fort Dialog;Севастопольский государственный университет;;Филипчук;Юль
2491;2559;2021-04-12;Oberon;ВНЭУМ;;Филипчук;Юль
2492;2560;2021-04-12;Marvel;StepLogic;;Толоко;Антоновский
2493;2561;2021-04-12;Merlion;Связь Медиа Сервис Строй;;Толоко;Антоновский
2494;2562;2021-04-13;Jet;ФГБУ НИИ Восход;;Филипчук;Неудачин
2495;2563;2021-04-13;Marvel;StepLogic;;Толоко;Антоновский
2496;2564;2021-04-13;Insystems;Альфа-Банк;;Шуляк;Юль
2497;2565;2021-04-13;Inart;Борей;;Толоко;Антоновский
2498;2566;2021-04-13;Rubitech;ФНС;;Никитин;Антоновский
2499;2567;2021-04-13;Croc;Узбекистан, Аэропорт;;Никитин;Юль
2500;2568;2021-04-14;Marvel;ГК Телепорт;;Толоко;Неудачин
2501;2569;2021-04-14;V.I.PROJECT;Сбербанк Спасибо;;Филипчук;Неудачин
2502;2570;2021-04-14;GreenMDC;;;Никитин;Неудачин
2503;2571;2021-04-14;Rubitech;ФНС;;Никитин;Антоновский
2504;2572;2021-04-15;Marvel;Роскосмос;;Филипчук;Неудачин
2505;2573;2021-04-15;Ixcellerate;;;Толоко;Антоновский
2506;2574;2021-04-15;Oberon;Сбер Технопарк;;Толоко;Антоновский
