;№ КП;дата выдачи;Партнер (для КП);Конечный заказчик;Дистрибьютор;Sale;Presale
3539;3607;2022-02-10;Yandex;;Марвел;Толоко;Антоновский
3540;3608;2022-02-11;IBS Platformix;Teleperformance;;Турков;Антоновский
3541;3609;2022-02-11;Pref;Государственная инспекция финансового контроля Самарской области;;Турков;Антоновский
3542;3610;2022-02-11;Ixcellerate;;;Толоко;Антоновский
3543;3611;2022-02-11;Abitech;Абитех;Марвел;Никитин;Антоновский
3544;3612;2022-02-11;Vybos;Квант-ФСБ;;Толоко;Антоновский
3545;3613;2022-02-11;KM Severo-Zapad;Квант;Марвел;Толоко;Антоновский
3546;3614;2022-02-11;StepLogic;Сбер;Марвел;Толоко;Антоновский
3547;3615;2022-02-11;StepLogic;Сбер;Марвел;Толоко;Антоновский
3548;3616;2022-02-14;Spectr-RS;Мегафон;;Толоко;Антоновский
3549;3617;2022-02-14;Servionica;Мосэнергосбыт;;Никитин;Епихин
3550;3618;2022-02-14;Ixcellerate;;;Толоко;Антоновский
3551;3619;2022-02-14;USSB;;;Никитин;Антоновский
3552;3620;2022-02-14;Ixcellerate;;;Толоко;Антоновский
3553;3621;2022-02-15;TSM;Яндекс;;Филипчук;Антоновский
3554;3622;2022-02-15;Telecom Integratsiya;МГУ Ломоносова;;Турков;Антоновский
3555;3623;2022-02-15;Universal Business Technologies;Министерства цифрового развития Ростовской области;OCS;Кононов;Епихин
3556;3624;2022-02-15;Inart;Замена DEPO;;Толоко;Антоновский
3557;3625;2022-02-16;Atitoka;Яндекс;;Толоко;Антоновский
3558;3626;2022-02-16;StepLogic;Сбер;Марвел;Толоко;Антоновский
3559;3627;2022-02-16;Marvel;Покровский рудник;;Турков;Антоновский
3560;3628;2022-02-16;Marvel;Сбербанк;Марвел;Нугманов;Юль
3561;3629;2022-02-16;Marvel;Сбербанк;Марвел;Нугманов;Юль
3562;3630;2022-02-17;BCC;Почта России;;Филипчук;Епихин
3563;3631;2022-02-17;ITER;ООО «Рудник Валунистый»;Марвел;Филипчук;Антоновский
3564;3632;2022-02-17;STI;МГТС;;Турков;Епихин
3565;3633;2022-02-17;Softline;Камаз;;Никитин;Антоновский
3566;3634;2022-02-17;Alfacom;ПАО ИЛ;;Никитин;Антоновский
3567;3635;2022-02-17;IP Konevskiy;СмоленскАвтодор;;Филипчук;Антоновский
3568;3636;2022-02-17;Teratek;Яндекс;;Толоко;Антоновский
3569;3637;2022-02-17;Regard;НОВОМОСКОВСКАЯ АКЦИОНЕРНАЯ КОМПАНИЯ АЗОТ;Марвел;Толоко;Антоновский
3570;3638;2022-02-17;Aquarius;ФНС;Марвел;Никитин;Антоновский
3571;3639;2022-02-17;AMD Tech;МТС;Мерлион;Нугманов;Епихин
3572;3640;2022-02-17;Telecom service;Яндекс;Марвел;Толоко;Антоновский
3573;3641;2022-02-17;Merlion;ВТБ;;Толоко;Антоновский
3574;3642;2022-02-17;IVS;ВТБ;;Толоко;Антоновский
3575;3643;2022-02-17;Ramec;;Марвел;Толоко;Антоновский
3576;3644;2022-02-18;STS Group;НПО Машиностроения;;Турков;Антоновский
3577;3645;2022-02-18;Marvel;Яндекс;Марвел;Толоко;Антоновский
3578;3646;2022-02-18;Yandex;;;Толоко;Антоновский
3579;3647;2022-02-18;Sinto;Межгосударственная акционерная корпорация «Вымпел»;;Филипчук;Епихин
3580;3648;2022-02-18;Ixcellerate;Икселерейт;;Толоко;Епихин
3581;3649;2022-02-21;SevenPro;ФГБУ науки Институт проблем управления им. В.А. Трапезникова Российской академии наук (ИПУ РАН);;Черкашин;Антоновский
3582;3650;2022-02-21;Renaissance Construction;Сберсити SBERCITY;;Толоко;Епихин
3583;3651;2022-02-21;SRS Electro;СРС Электро;;Турков;Антоновский
3584;3652;2022-02-22;Marvel;Яндекс;Марвел;Толоко;Антоновский
3585;3653;2022-02-22;Rubitech;Внутренние нужды;;Никитин;Антоновский
3586;3654;2022-02-22;Inline telecom;РТК ЦОД;;Турков;Антоновский
3587;3655;2022-02-22;Softline;Камаз;Марвел;Никитин;Антоновский
3588;3656;2022-02-22;Icord;Сбербанк (Оберон);;Никитин;Антоновский
3589;3657;2022-02-22;Skala-R;Росморпорт;Марвел;Никитин;Антоновский
3590;3658;2022-02-24;Icore;Сбер;;Нугманов;Антоновский
3591;3659;2022-02-24;Infocell;Гринатом;Мерлион;Нугманов;Антоновский
3592;3660;2022-02-25;Марвел;Яндекс;Марвел;Толоко;Епихин
3593;3661;2022-02-28;Ixcellerate;;;Олифер;Антоновский
3594;3662;2022-02-28;Rubitech;РЖД;Марвел;Никитин;Антоновский
3595;3663;2022-02-28;Rubitech;РЖД;Марвел;Никитин;Антоновский
3596;3664;2022-02-28;Uplink-telecom;Сбербанк;;Филипчук;Антоновский
3597;3665;2022-03-01;NT;ELKO;;Кононов;Антоновский
3598;3666;2022-03-01;Silmatech;НИИ ТП;;Турков;Антоновский
3599;3667;2022-03-02;Aquarius;ГБУ Ритуал;;Турков;Антоновский
3600;3668;2022-03-02;Alfacom;Вымпелком;;Никитин;Антоновский
3601;3669;2022-03-02;Communications;Росэнергоатом;;Никитин;Антоновский
3602;3670;2022-03-02;Croc;;Марвел;Никитин;Антоновский
3603;3671;2022-03-02;Marvel;СБ;Марвел;Нугманов;Антоновский
3604;3672;2022-03-02;Marvel;Сберклауд;;Толоко;Епихин
3605;3673;2022-03-02;Philax;МИД РФ;;Никитин;Антоновский
3606;3674;2022-03-03;Komlit;ПАО «ОДК-Кузнецов», г.Самара, Заводское шоссе;;Филипчук;Антоновский
3607;3675;2022-03-03;Aquarius;ФГУП Охрана Росгвардии;;Турков;Антоновский
3608;3676;2022-03-03;Goznak;Гознак;;Филипчук;Антоновский
3609;3677;2022-03-03;Itbgroup;Леруа Мерлен;;Турков;Епихин
3610;3678;2022-03-03;Icord;Сбербанк;Оберон;Никитин;Антоновский
3611;3679;2022-03-03;Stacktelecom;;;Турков;Антоновский
3612;3680;2022-03-03;Pref;АО Энергия;;Турков;Антоновский
3613;3681;2022-03-04;Marvel;Норникель;;Толоко;Антоновский
3614;3682;2022-03-04;Vybos;Кроношпан Калуга;;Толоко;Антоновский
3615;3683;2022-03-04;iFellow;РТС Биржа;;Филипчук;Антоновский
3616;3684;2022-03-04;iFellow;РТС Биржа;;Филипчук;Антоновский
3617;3685;2022-03-04;DataRK;Датарк;;Никитин;Антоновский
3618;3686;2022-03-04;Goznak;Гознак;;Филипчук;Антоновский
3619;3687;2022-03-04;Oberon;Сбербанк;;Никитин;Антоновский
3620;3688;2022-03-04;Marvel;Яндекс;;Толоко;Антоновский
3621;3689;2022-03-04;DC Group;Мосводоканал;;Филипчук;Юль
3622;3690;2022-03-04;Smart Tech;;;Никитин;Епихин
3623;3691;2022-03-05;Satel;Атомдата;;Турков;Епихин
3624;3692;2022-03-05;Rubitech;Сбер;Марвел;Никитин;Антоновский
3625;3693;2022-03-05;3data;3data;;Никитин;Епихин
3626;3694;2022-03-05;Oberon;Сбербанк;;Никитин;Юль
3627;3695;2022-03-05;GreenMDC;Русал-Братск;;Никитин;Антоновский
3628;3696;2022-03-09;TecForce;Газпромнефть Оренбург;;Турков;Антоновский
3629;3697;2022-03-09;BCC;Гринатом;Марвел;Филипчук;Антоновский
3630;3698;2022-03-09;RTK;Многовершинное;;Толоко;Антоновский
3631;3699;2022-03-09;Habeco partner;ДГК Амурская ТЭЦ;Марвел;Толоко;Антоновский
3632;3700;2022-03-09;RTK;Многовершинное;;Толоко;Антоновский
3633;3701;2022-03-09;T1-Integration;ВТБ;;Никитин;Епихин
3634;3702;2022-03-09;Silmatech;ПАО «Ил»;;Турков;Антоновский
3635;3703;2022-03-09;ICL;Технопарк в сфере высоких технологий «ИТ-Парк».;;Толоко;Антоновский
3636;3704;2022-03-09;Softline;Томскнефтехим;;Филипчук;Антоновский
3637;3705;2022-03-09;StepLogic;Утконос;Марвел;Толоко;Антоновский
3638;3706;2022-03-09;Vybos;Евроторг Минск;;Толоко;Антоновский
3639;3707;2022-03-10;Ixcellerate;Икселерейт;;Толоко;Епихин
3640;3708;2022-03-10;Communications;АТОМДАТА;;Никитин;Епихин
3641;3709;2022-03-11;R.PARTNER;Хабаровское Министерство Информационных Технологий.;Марвел;Толоко;Антоновский
3642;3710;2022-03-11;Oberon;Сбербанк;;Никитин;Антоновский
3643;3711;2022-03-11;Trinity;Новатэк Усть Луга;Марвел;Филипчук;Епихин
3644;3712;2022-03-11;Tek-inform;Мосэнерго;Марвел;Филипчук;Епихин
3645;3713;2022-03-11;Rubitech;Газпромбанк;;Никитин;Епихин
3646;3714;2022-03-14;DClogic;Атомстройэкспорт;;Турков;Епихин
3647;3715;2022-03-14;DataLine;;;Турков;Антоновский
3648;3716;2022-03-14;Kortekh;Банк Санкт-Петербург;;Толоко;Антоновский
3649;3717;2022-03-14;Ixcellerate;;;Толоко;Антоновский
3650;3718;2022-03-14;Elesy;Евраз ЗСМК;;Турков;Антоновский
3651;3719;2022-03-14;Cifrovye sistemy peredachi;Многовершинное;;Толоко;Антоновский
3652;3720;2022-03-14;VBK;ТФОМС Свердловской области.;Марвел;Толоко;Антоновский
3653;3721;2022-03-14;SKM;Газпромнефть ИТО;Марвел;Филипчук;Антоновский
3654;3722;2022-03-14;PRIDEX Group;Тинькофф;;Филипчук;Антоновский
3655;3723;2022-03-14;RZD;РЖД;;Филипчук;Антоновский
3656;3724;2022-03-14;Rubitech;Газпромбанк;;Никитин;Епихин
3657;3725;2022-03-14;Marvel;Яндекс;Марвел;Толоко;Антоновский
3658;3726;2022-03-14;Compulink;СО ЕЭС, Филиал АО СО ЕЭС Хабаровское РДУ;Марвел;Толоко;Антоновский
3659;3727;2022-03-15;Selectel;Селектел;;Никитин;Епихин
3660;3728;2022-03-15;Marvel;РТК ЦТ;Марвел;Толоко;Антоновский
3661;3729;2022-03-15;Philax;МИД РФ;;Никитин;Епихин
3662;3730;2022-03-15;PTM;АО Биокад ПК-137;;Турков;Антоновский
3663;3731;2022-03-15;Online Center;Дептранс Москвы;;Турков;Антоновский
3664;3732;2022-03-15;DC Consult;Москва, МГУ им. Ломоносова.;;Филипчук;Антоновский
3665;3733;2022-03-15;Marvel;ЦМР банк;;Турков;Антоновский
3666;3734;2022-03-16;Hiref;Сибинтек;;Филипчук;Антоновский
3667;3735;2022-03-16;Infotaktika;;;Турков;Антоновский
3668;3736;2022-03-16;VBK;"ФИЛИАЛ АО ""СО ЕЭС"" ""РЕГИОНАЛЬНОЕ ДИСПЕТЧЕРСКОЕ УПРАВЛЕНИЕ ЭНЕРГОСИСТЕМЫ ПРИМОРСКОГО КРАЯ""";Марвел;Толоко;Епихин
3669;3737;2022-03-16;Satel;Арктик ГСП 2;;Турков;Епихин
3670;3738;2022-03-16;engineering systems;ПАО Газпромнефть  Адрес объекта: г. СПб, ул. Почтамтская, д. 3-5, лит. А;;Филипчук;Епихин
3671;3739;2022-03-16;Marvel;УНР 17;;Турков;Антоновский
3672;3740;2022-03-16;Marvel;ЗАО Ротек / Уральский турбинный завод;Марвел;Никитин;Антоновский
3673;3741;2022-03-16;Softline;Камаз;;Никитин;Юль
3674;3742;2022-03-17;DataDom;МГТС;;Никитин;Епихин
3675;3743;2022-03-17;Marvel;ЦОД АО «Тандер»;Марвел;Филипчук;Антоновский
3676;3744;2022-03-17;Alpro;Министерство здравоохранения;;Турков;Антоновский
3677;3745;2022-03-17;Birga Telecom;Атомдата;;Никитин;Антоновский
3678;3746;2022-03-17;Sibinzhproject;Белая гора;;Турков;Антоновский
3679;3747;2022-03-17;Edinie systemnie technologii;Метрополитен Санкт-Петербург.;;Толоко;Епихин
3680;3748;2022-03-17;3Logic;Ситител;;Турков;Антоновский
3681;3749;2022-03-17;Genesis Engineering;ЦОД для Каспи Банка в г. Алматы, ПИТ Алатау;;Филипчук;Епихин
3682;3750;2022-03-18;AB Engineering;Томскнефтехим;;Толоко;Епихин
3683;3751;2022-03-18;technopark-v;ФСО НТЦ Система.Мясницкий проезд1стр1.;;Толоко;Епихин
3684;3752;2022-03-18;Marvel;ЦОД Остаповский;Марвел;Толоко;Антоновский
3685;3753;2022-03-18;IT Master;ТФОМС Тюменской области;;Никитин;Антоновский
3686;3754;2022-03-18;RTS Distrib;Новатэк;;Турков;Антоновский
3687;3755;2022-03-18;IVS;ПЗ Машиностроитель;;Никитин;Антоновский
3688;3756;2022-03-18;DataDom;Севастопольский государственный университет (СевГУ);;Никитин;Антоновский
3689;3757;2022-03-18;Paladin;ПрофХолод;;Турков;Юль
3690;3758;2022-03-18;Softline;Газпром автоматизация;;Филипчук;Епихин
3691;3759;2022-03-18;IVS;;;Никитин;Антоновский
3692;3760;2022-03-18;DataPro;;;Никитин;Антоновский
3693;3761;2022-03-18;NCI;Росгвардия;Марвел;Толоко;Антоновский
3694;3762;2022-03-18;Iteco;ЦМР банк;;Никитин;Антоновский
3695;3763;2022-03-18;Jet;ИЛИМ (Архангельская область, г. Коряжма, ул. Дыбцына, д. 42);;Никитин;Антоновский
3696;3764;2022-03-18;Ixcellerate;;;Толоко;Антоновский
3697;3765;2022-03-18;Inline;Счетная палата РФ;Марвел;Филипчук;Антоновский
3698;3766;2022-03-19;Wizard;БМВ Рулсанд Трейдинг;;Турков;Антоновский
3699;3767;2022-03-19;Icore;РЖД;;Никитин;Антоновский
3700;3768;2022-03-19;ATLANT;Росатом НИИЭФА им. Д. В. Ефремова;;Толоко;Епихин
3701;3769;2022-03-19;Marvel;Ренессанс кредит;;Турков;Епихин
3702;3770;2022-03-19;PRIDEX Construction;Сбербанк Кутузовский;;Филипчук;Епихин
3703;3771;2022-03-19;Inline telecom;РТК ЦОД;;Турков;Епихин
3704;3772;2022-03-20;Marvel;Яндекс;;Толоко;Антоновский
3705;3773;2022-03-20;STI;ЦОД Ланит;;Турков;Антоновский
3706;3774;2022-03-20;Telecom Integratsiya;Тандер;;Турков;Антоновский
3707;3775;2022-03-21;AMD Tech;УФСБ РФ по Смоленской области;;Толоко;Епихин
3708;3776;2022-03-21;GK Petropavlovskiy;Маломырский рудник;;Турков;Антоновский
3709;3777;2022-03-21;Compulink;"Филиал СО ЕЭС ""ПРИМОРСКОЕ РДУ”";Марвел;Толоко;Антоновский
3710;3778;2022-03-21;A-Systems;НИИДАР Радиотехнические и информационные системы, Концерн ул. 8 Марта;Марвел;Филипчук;Антоновский
3711;3779;2022-03-21;Infotaktika;Госархив РФ, Обнинск;;Турков;Антоновский
3712;3780;2022-03-21;Telecom Integratsiya;Милком;;Турков;Епихин
3713;3781;2022-03-21;Marvel;Марвел;;Нугманов;Антоновский
3714;3782;2022-03-21;T1-Integration;Т1-cloud;;Никитин;Епихин
3715;3783;2022-03-21;Croc;Т-Плюс;;Никитин;Епихин
3716;3784;2022-03-21;V.I.PROJECT;Школа в Новокузнецке;;Филипчук;Антоновский
3717;3785;2022-03-22;DC Consult;Банк ВТБ;;Филипчук;Антоновский
3718;3786;2022-03-22;Softline;Уренгойаэроинвест;;Турков;Антоновский
3719;3787;2022-03-22;STES;Леруа Мерлен;;Турков;Епихин
3720;3788;2022-03-22;Ixcellerate;;;Толоко;Антоновский
3721;3789;2022-03-22;High Energy;ФСК ЦОД;;Турков;Антоновский
3722;3790;2022-03-22;Marvel;Аквариус;;Турков;Антоновский
3723;3791;2022-03-22;Goznak;Гознак;;Филипчук;Антоновский
3724;3792;2022-03-22;It-Lanit;;Мерлион;Толоко;Антоновский
3725;3793;2022-03-22;Croc;Красноярская малая ГЭС-1;;Никитин;Антоновский
3726;3794;2022-03-22;IVS;ЕвроХим-УКК;;Никитин;Антоновский
3727;3795;2022-03-22;Ixcellerate;;;Толоко;Антоновский
3728;3796;2022-03-22;OCS;Вкусовые Технологии;OCS;Кононов;Антоновский
3729;3797;2022-03-22;Inline;;;Филипчук;Антоновский
3730;3798;2022-03-23;Sintez;Трансстроймеханизация;Марвел;Филипчук;Антоновский
3731;3799;2022-03-23;Impuls;ФСБ;;Турков;Антоновский
3732;3800;2022-03-23;technopark-v;ФСО НТЦ Система.Мясницкий проезд1стр1.;;Толоко;Епихин
3733;3801;2022-03-23;Marvel;Борн СПБ;Марвел;Толоко;Антоновский
3734;3802;2022-03-23;Softline;НАУЧНО-ТЕХНИЧЕСКИЙ ЦЕНТР АО КАМАЗ;;Филипчук;Антоновский
3735;3803;2022-03-23;Merlion;РТЦ ЦОД;Мерлион;Никитин;Антоновский
3736;3804;2022-03-23;Ixcellerate;;;Толоко;Антоновский
3737;3805;2022-03-23;Goznak;;;Толоко;Антоновский
3738;3806;2022-03-23;Elcomtrading;НИИАДАР;;Филипчук;Антоновский
3739;3807;2022-03-23;Ixcellerate;;;;Епихин
3740;3808;2022-03-23;RTS Distrib;Новатэк;;Турков;Антоновский
3741;3809;2022-03-24;komis;Филиал ООО «ЛУКОЙЛ-Инжиниринг» «КогалымНИПИнефть» в г.Тюмени;Марвел;Филипчук;Епихин
3742;3810;2022-03-24;AtomData;АтомДата;;Никитин;Антоновский
3743;3811;2022-03-24;Softline;АО СИБИРСКИЙ ХИМИЧЕСКИЙ КОМБИНАТ;;Никитин;Антоновский
3744;3812;2022-03-24;Marvel;Банк Русский Стандарт;Марвел;Филипчук;Антоновский
3745;3813;2022-03-24;Croc;ООО «Газпром ВНИИГАЗ;;Толоко;Епихин
3746;3814;2022-03-24;Selectel;;;Никитин;Антоновский
3747;3815;2022-03-24;Rubitech;;;Никитин;Антоновский
